level,question,option1,option2,option3,option4,correctoption,feedback1,feedback2,feedback3,feedback4
Iniciante,Onde geralmente podemos encontrar caixas de coleta adequadas para pilhas e baterias velhas?,Em lixeiras normais nas calçadas,Em supermercados e farmácias,Em praias e parques,Em caçambas de entulho de construção,2,"Lixeiras de calçada vão para aterros comuns, o que contamina o solo.",Isso mesmo! Muitos desses estabelecimentos oferecem pontos de coleta segura (logística reversa).,Esses locais devem ser preservados e não possuem infraestrutura para lixo tóxico.,Entulho de obra não passa por triagem de lixo tóxico.
Iniciante,Qual destes não é considerado lixo eletrônico?,Um monitor de computador antigo,Uma escova de dentes elétrica quebrada,Uma panela de alumínio amassada,Um pen drive que parou de funcionar,3,Monitores possuem componentes eletrônicos complexos e metais pesados.,"Se usa eletricidade ou bateria para funcionar, é e-lixo.","Exato! A panela é apenas metal reciclável comum, não possui componentes elétricos ou eletrônicos.","Pen drives possuem circuitos integrados, sendo e-lixo."
Iniciante,"O que define a prática conhecida como ""Obsolescência Programada""?",A fabricação de produtos projetados para ter vida útil curta e incentivar novas compras.,Um software focado em ajudar empresas na reciclagem.,O processo de conserto gratuito oferecido por fabricantes.,Uma lei governamental para diminuir o lixo.,1,Correto. É uma estratégia de mercado que aumenta o volume de lixo eletrônico gerado.,"Trata-se de uma estratégia de design e vendas, não de um software.","Na verdade, a obsolescência programada dificulta e encarece o conserto.","É uma prática da indústria, não uma regulação do governo."
Iniciante,Cabos de carregador e fones de ouvido velhos e rompidos podem ser reciclados?,Sim porque eles contêm cobre e plástico que podem ser recuperados na reciclagem,Não pois são feitos inteiramente de borracha que não é reciclável,Apenas se ainda estiverem funcionando perfeitamente,Não e por isso devem ser queimados no quintal de casa,1,"Exato! Os fios possuem metais valiosos como o cobre, que são altamente recicláveis.","A capa externa é de plástico/borracha, mas o interior contém fios de metal reciclável.","Mesmo estragados, os materiais que compõem o cabo podem ser separados e reciclados.",Queimar fios libera fumaça tóxica no ar e é considerado crime ambiental.
Iniciante,Um carrinho de controle remoto antigo e quebrado deve ser considerado lixo eletrônico?,Não porque brinquedos são classificados apenas como plástico reciclável comum,Sim pois possui pequenos motores fios e precisa de energia (pilhas) para funcionar,Só é lixo eletrônico se for um console de videogame moderno,Não brinquedos velhos devem ser jogados no lixo orgânico,2,"Além do plástico, brinquedos eletrônicos têm motores e pequenos circuitos.",Isso mesmo! Qualquer produto que dependa de corrente elétrica ou pilhas é classificado como e-lixo.,"Qualquer aparelho eletrônico é considerado e-lixo, independente do seu valor ou tamanho.",O lixo orgânico é exclusivo para restos de alimentos.
Iniciante,Qual é um dos maiores benefícios ambientais diretos da reciclagem do lixo eletrônico?,Aumentar a quantidade de lixo enterrada nos aterros sanitários,Reduzir a necessidade de extrair novos minérios da natureza,Ajudar a deixar o sinal de internet mais rápido nas cidades,Aumentar o consumo de energia elétrica nas indústrias,2,A reciclagem faz exatamente o oposto: diminui o volume de resíduos nos aterros.,"Correto! Ao reaproveitar materiais como ouro e cobre, evitamos a mineração e a destruição ambiental.","A reciclagem lida com materiais físicos, não altera a velocidade de redes de internet.",A reciclagem de metais geralmente consome muito menos energia do que a extração de minério bruto.
Iniciante,Lâmpadas de LED queimadas são consideradas lixo eletrônico e podem ser recicladas?,Não devem ir para o lixo comum,Sim pois contêm componentes eletrônicos e materiais recicláveis,Apenas se o vidro estiver intacto,Não devem ser enterradas no quintal,2,"Lâmpadas no lixo comum podem quebrar e causar acidentes, além de desperdiçar materiais.","Correto! Elas possuem pequenas placas eletrônicas, metais e plásticos que podem e devem ser reaproveitados.","Mesmo quebradas, os componentes internos podem ser reciclados se o descarte for em pontos de coleta específicos.",Enterrar qualquer tipo de lixo prejudica gravemente o solo e o meio ambiente.
Iniciante,O que significa o símbolo de uma lixeira com um X desenhado em cima frequentemente encontrado na traseira de eletrônicos ou baterias?,Que o produto é à prova d'água,Que o aparelho nunca vai quebrar,Que o produto não deve ser jogado no lixo comum,Que a lixeira da sua casa está cheia,3,Símbolos de resistência à água são diferentes (como as certificações IP68).,Nenhum produto eletrônico dura para sempre.,Exatamente! Esse é o símbolo internacional que indica que o descarte daquele item exige coleta especial (logística reversa).,"O símbolo é sobre o próprio aparelho, não tem relação com o status da sua lixeira doméstica."
Intermediário,"O conceito de ""Economia Circular"" é a grande solução proposta para o problema do lixo eletrônico. Qual é a principal premissa desse modelo?",Produzir o máximo de aparelhos possível com materiais recém-extraídos da natureza para gerar empregos.,Transferir o lixo eletrônico de países desenvolvidos para países em desenvolvimento.,"Manter os materiais e produtos em uso pelo maior tempo possível, consertando, reutilizando e, no final, reciclando.",Aumentar os preços dos produtos anualmente para que as pessoas comprem menos.,3,"Isso descreve a economia linear tradicional, que esgota os recursos naturais","O lixo não deve ser ""escondido"" em outros países.","A economia circular busca eliminar a ideia de ""lixo"", fazendo com que o fim da vida útil de um produto seja o início de outro, num ciclo contínuo.",Aumentar preços sem mudar a forma de produção não resolve o problema ambiental e apenas exclui pessoas do acesso à tecnologia.
Intermediário,Qual substância tóxica pode ser encontrada em baterias eletrônicas? ,Açúcar ,Mercúrio,Oxigênio,Água,2,Açúcar não faz parte da composição de baterias eletrônicas,O mercúrio é um metal tóxico que pode contaminar o solo e a água quando descartado incorretamente.,Oxigênio não é um componente tóxico presente em baterias eletrônicas,Água não é utilizada em baterias eletrônicas
Intermediário,Qual destes componentes eletrônicos pode causar contaminação ambiental?,Bateria,Papelão,Papel sulfite,Algodão,1,Baterias podem conter metais pesados que contaminam o solo e a água.,Papelão é reciclável comum e não possui componentes tóxicos eletrônicos.,Papel sulfite não é considerado um componente eletrônico perigoso.,Algodão não possui materiais tóxicos relacionados ao lixo eletrônico.
Intermediário,Qual atitude ajuda a diminuir o lixo eletrônico?,Trocar de celular todo ano sem necessidade,Jogar aparelhos antigos no lixo comum,Reutilizar ou doar aparelhos funcionando,Queimar equipamentos antigos,3,O consumo excessivo aumenta a quantidade de lixo eletrônico no planeta.,Isso pode causar contaminação ambiental.,Reutilizar aumenta a vida útil dos equipamentos e reduz o descarte desnecessário.,Queimar eletrônicos libera gases tóxicos perigosos. Além de prejudicar a reciclagem
Intermediário,Por que pilhas e baterias precisam de descarte especial?,Porque ocupam muito espaço no lixo comum,Porque podem liberar substâncias tóxicas no ambiente,Porque são feitas apenas de plástico reciclável,Porque se dissolvem rapidamente na água,2,"O principal problema não é o espaço, mas os materiais tóxicos presentes nelas.",Pilhas e baterias possuem metais pesados que podem contaminar solo e água.,Elas possuem metais e compostos químicos perigosos.,Esses materiais não se dissolvem facilmente e podem causar poluição prolongada.
Intermediário,Qual característica torna o lixo eletrônico potencialmente perigoso ao meio ambiente?,Presença de polímeros biodegradáveis em excesso,Existência de metais pesados e compostos químicos tóxicos,Grande quantidade de resíduos orgânicos em sua composição,Capacidade de decomposição extremamente acelerada,2,O problema ambiental do lixo eletrônico não está ligado a materiais biodegradáveis.,"Diversos eletrônicos possuem chumbo, mercúrio e cádmio, substâncias que contaminam o meio ambiente.","Equipamentos eletrônicos possuem principalmente metais, plásticos e circuitos.","Na verdade, muitos componentes eletrônicos levam décadas para se decompor."
Intermediário,"Na Política Nacional de Resíduos Sólidos (PNRS) do Brasil, de quem é a responsabilidade pelo ciclo de vida do produto eletrônico?",Apenas dos consumidores finais que compram o aparelho.,Exclusivamente das Prefeituras Municipais e seus garis.,Apenas dos fabricantes que produzem as peças.,Responsabilidade compartilhada (fabricantes importadores distribuidores comerciantes e consumidores).,4,"O consumidor tem seu papel de descartar corretamente, mas não é o único responsável.","O município cuida do lixo doméstico, mas o e-lixo requer ação da cadeia produtiva.","Fabricantes são essenciais, mas precisam da ajuda do comércio e consumidores para a devolução.","Isso mesmo! Todos têm obrigações na logística reversa, desde quem produz até quem descarta."
Intermediário,"Qual é a finalidade principal do processo chamado de ""Mineração Urbana""?",Extrair carvão e ferro do subsolo das grandes cidades.,Recuperar metais preciosos e materiais valiosos de aparelhos eletrônicos descartados.,Criar túneis de metrô usando máquinas elétricas antigas.,Limpar rios poluídos por resíduos industriais.,2,A mineração urbana não envolve escavar o solo das cidades.,"Perfeito! Trata-se de extrair ouro, prata, cobre e lítio do lixo eletrônico em vez de explorar a natureza.",Não tem relação com obras de infraestrutura urbana.,"Apesar de o e-lixo poluir rios, a mineração urbana foca na recuperação de recursos econômicos."
Intermediário,Nas lixeiras de coleta seletiva coloridas padrão qual cor representa o descarte de resíduos perigosos (como pilhas e baterias)?,Azul,Laranja,Verde,Amarelo,2,A lixeira azul é destinada exclusivamente para o descarte de papéis e papelões.,"Correto! A lixeira laranja é a indicada para resíduos perigosos, incluindo pilhas e baterias.",A cor verde é usada apenas para a coleta de objetos de vidro.,"Amarelo é para metais comuns, como latinhas, e não para resíduos tóxicos."
Intermediário,Qual metal pesado frequentemente encontrado em baterias e monitores de tubo antigos é altamente tóxico e pode causar danos ao sistema nervoso humano?,Chumbo,Alumínio,Ferro,Cobre,1,"Correto! O chumbo é extremamente tóxico, não se degrada na natureza e acumula-se no organismo humano.",O alumínio é amplamente reciclável e tem baixa toxicidade comparado ao chumbo.,O ferro é um metal comum e não possui esse nível de periculosidade ambiental.,"O cobre é muito valioso para a reciclagem, mas não possui a alta toxicidade neurotóxica do chumbo."
Intermediário,"Muitas vezes, os consumidores são forçados a descartar um eletrônico porque ele para de receber atualizações ou porque consertá-lo custa quase o preço de um novo. Como é chamada essa estratégia de mercado?",Obsolescência Programada.,Sustentabilidade Tecnológica.,Reciclagem Preventiva.,Direito ao Reparo.,1,"É a prática de projetar um produto para ter uma vida útil artificialmente curta, obrigando o consumidor a substituí-lo rapidamente e gerando um volume imenso de lixo eletrônico.",Este seria o termo ideal para o oposto: criar tecnologias duráveis e com baixo impacto ambiental.,Esse termo não existe formalmente no mercado de eletrônicos.,"O ""Direito ao Reparo"" é justamente um movimento global que luta contra essa prática, exigindo que as empresas tornem mais acessível o conserto de seus aparelhos"
Intermediário,"O que são os ""Elementos de Terras Raras"" frequentemente encontrados em smartphones e computadores?",Pedras preciosas usadas para deixar os aparelhos mais bonitos por fora.,"Minerais fundamentais para o funcionamento de telas, alto-falantes e motores de vibração, cuja extração é altamente poluente.",Minérios de países pequenos que passou por um processo de aquecimento em laboratório.,Materiais sintéticos criados no laboratório de outros países.,2,"O design externo geralmente usa vidro, plástico ou alumínio comum.","Esses elementos (como o Neodímio) são cruciais para a tecnologia moderna. A reciclagem deles é complexa, mas vital para reduzir a destruição ambiental causada pela mineração tradicional.",Terras raras são um grupo específico de elementos químicos encontrados na natureza.,Esses materiais são minerados normalmente em países como China e Brasil.
Intermediário,"Qual é a principal diferença entre ""Reciclar"" e ""Recondicionar"" um eletrônico?","Não há diferença, são duas palavras para a mesma coisa.",Reciclar é consertar o aparelho; Recondicionar significa desmontar e destruir o aparelho para extrair sua matéria-prima.,Recondicionar significa consertar e limpar o aparelho para que outra pessoa o use. Reciclar significa desmontar e destruir o aparelho para extrair sua matéria-prima.," Recondicionar é ilegal, enquanto reciclar é incentivado pelo governo.",3,São processos completamente distintos dentro da economia circular.,"Não, é o contrário. Recondicionar é quando o aparelho é consertado para ser usado por alguém depois, já a reciclagem envolve a extração dos materiais importantes de dentro deles.","O recondicionamento é ambientalmente preferível, pois aproveita a energia já gasta para fabricar o aparelho. A reciclagem deve ser a última opção, quando o conserto é impossível.","Recondicionar e vender aparelhos usados é uma prática legal, segura e excelente para a sustentabilidade."
Intermediário,"O que se entende por ""Lixo Eletrônico Invisível""?",Ondas de Wi-Fi e Bluetooth que ficam presas dentro de casa., Vírus de computador que ocupam espaço no disco rígido.,"Itens como cabos antigos, cigarros eletrônicos (vapes) e brinquedos musicais", Aparelhos feitos de vidro transparente.,3,"Ondas de rádio são frequências eletromagnéticas, não geram resíduos físicos.","Vírus são softwares (códigos virtuais), e lixo eletrônico refere-se ao hardware (parte física).","Como não parecem ""computadores"", as pessoas tendem a jogar esses itens no lixo comum, desperdiçando recursos e causando poluição, compondo uma grande fatia do e-lixo mundial.","Mesmo sendo de vidro, eles são visíveis e reconhecidos como equipamentos físicos."
Intermediário,"Em termos de eficiência energética, qual afirmação é verdadeira sobre a extração de metais (como cobre e alumínio) do lixo eletrônico em comparação com a extração da natureza?",A reciclagem exige muito mais energia do que cavar minas na natureza.,A reciclagem (mineração urbana) gasta uma fração da energia que seria necessária para extrair e refinar minérios virgens. ,"O gasto de energia é exatamente o mesmo, a única vantagem é limpar as ruas.","A reciclagem de metais não usa energia, pois é feita apenas manualmente.",2,É o oposto. A mineração tradicional é uma das indústrias que mais consomem energia no mundo.,"Reciclar alumínio de sucata, por exemplo, economiza até 95% da energia em comparação com a produção a partir da bauxita (minério natural).",A vantagem energética é gigantesca e um dos principais motores econômicos da reciclagem.,"Embora a triagem possa ser manual, o derretimento e refino dos metais requerem fornos industriais e energia."
Intermediário,"O que o conceito de ""Responsabilidade Estendida do Produtor"" (EPR) determina?",Que o produtor é responsável por garantir que o usuário nunca jogue o aparelho fora.,"Que a responsabilidade da empresa fabricante não termina quando o produto é vendido, abrangendo também a coleta e reciclagem no fim da vida útil.",Que o produtor deve dar um aparelho novo de graça sempre que o antigo quebrar.,Que as fábricas de eletrônicos devem produzir a própria energia elétrica para reduzir seus impactos ambientais.,2,Isso seria um impossível de se fazer e gastaria energia desnecessariamente.,Esse é o pilar jurídico moderno que obriga grandes marcas a estruturarem pontos de coleta e financiarem a logística reversa de seus produtos.,"O EPR trata do resíduo, não de garantias infinitas de substituição.","Embora seja uma ótima prática ambiental, o termo EPR refere-se especificamente à gestão do ciclo de vida e descarte do produto."
Intermediário,"Muitos plásticos vindos do lixo eletrônico sofrem o processo de ""Downcycling"" (subciclagem). O que isso significa?",Que o plástico é transformado em um material de qualidade e valor inferior ao original.,Que o plástico é enterrado no fundo do mar.,Que o plástico é transformado em um material muito mais resistente e caro que o original.,Que o plástico é transformado em metal na usina de reciclagem.,1,"O plástico do e-lixo é difícil de purificar. Muitas vezes, um plástico de notebook de alta qualidade acaba virando itens menos exigentes, como cones de trânsito ou lixeiras, não podendo voltar a ser um notebook.","O descarte no oceano é poluição grave, não um processo de reciclagem.","Isso seria o ""Upcycling"". O Downcycling é o processo de perda de qualidade da resina.",A alquimia não é possível; plásticos não se transformam em metais.
Intermediário,"O que a ""Convenção de Basileia"" busca evitar em relação ao lixo eletrônico global?",Que os aparelhos eletrônicos sejam vendidos sem o manual de instruções.,"Que países ricos exportem seu lixo eletrônico tóxico para países em desenvolvimento, disfarçado de ""doação"".",Que as empresas usem plástico na embalagem dos celulares.,Que os usuários consertem seus próprios aparelhos em casa.,2,"Manuais são questões de direito do consumidor local, não de tratados internacionais.",Este tratado internacional foi criado para impedir que nações desenvolvidas usem países mais pobres como lixões para seus resíduos perigosos.,"O foco da convenção é o movimento transfronteiriço de resíduos perigosos, não o design de embalagens.",O conserto caseiro (direito ao reparo) é incentivado por movimentos sustentáveis e não é proibido por esta convenção.
Avançado,O que é logística reversa no contexto do lixo eletrônico? ,Jogar eletrônicos no lixo reciclável,Processo de retorno de produtos usados para descarte ou reciclagem adequada,Comprar aparelhos usados,Transportar lixo para outro país ,2,"Lixo eletrônico precisa de coleta especializada, não apenas reciclagem comum.",A logística reversa ajuda fabricantes e empresas a recolherem produtos para descarte seguro.,"Comprar usados ajuda o meio ambiente, mas isso não define logística reversa.","A logística reversa envolve recolhimento e reaproveitamento adequado, não exportação de lixo."
Avançado,Por que o lixo eletrônico possui alto valor para reciclagem?,Porque possui metais valiosos reutilizáveis,"Porque contém alimentos orgânicos
",Porque é feito apenas de plástico,Porque desaparece rapidamente na natureza,1,"Eletrônicos possuem cobre, ouro, prata e outros materiais que podem ser reaproveitados.",Lixo eletrônico não possui materiais orgânicos alimentares.,Eletrônicos possuem diversos materiais além do plástico.,Muitos componentes eletrônicos levam décadas para se decompor.
Avançado,Qual é um dos impactos do descarte incorreto de lixo eletrônico?,Redução da poluição dos rios,Contaminação do meio ambiente por metais pesados,Melhoria da qualidade do solo,Produção natural de energia limpa,2,O descarte incorreto aumenta os riscos de poluição.,"Metais pesados presentes nos eletrônicos podem afetar solo, água e saúde humana.",O descarte inadequado prejudica o solo em vez de melhorar.,Lixo eletrônico não gera energia limpa quando descartado incorretamente.
Avançado,Qual das alternativas representa um exemplo de logística reversa?,Consumidor descarta celular antigo em ponto de coleta autorizado,Empresa envia aparelhos quebrados para aterro comum,Usuário abandona equipamentos eletrônicos em terrenos baldios,Comércio mistura baterias usadas com plástico reciclável,1,A logística reversa envolve o retorno adequado do produto para reciclagem ou descarte seguro.,Eletrônicos não devem ser destinados ao lixo comum devido ao risco ambiental.,Essa prática aumenta a contaminação do solo e da água.,Baterias precisam de separação especializada por conter materiais tóxicos.
Avançado,O descarte inadequado de componentes eletrônicos pode gerar bioacumulação porque:,Os resíduos eletrônicos evaporam rapidamente na atmosfera,Substâncias tóxicas podem se concentrar nos organismos vivos ao longo da cadeia alimentar,Equipamentos eletrônicos aumentam a fertilidade natural do solo,Os metais presentes nos aparelhos tornam-se inofensivos após contato com a água,2,Grande parte dos componentes eletrônicos permanece no ambiente por muitos anos.,"Metais pesados podem se acumular em animais e seres humanos, causando danos à saúde.",Os componentes tóxicos prejudicam a qualidade do solo.,O contato com água pode espalhar substâncias tóxicas e agravar a contaminação.
Avançado,"Qual dos metais abaixo, frequentemente presente em resíduos eletrônicos, possui alto potencial de contaminação por bioacumulação?",Cádmio,Alumínio,Magnésio,Titânio,1,"O cádmio é um metal pesado altamente tóxico presente em baterias e semicondutores, podendo causar bioacumulação e danos ao sistema renal e nervoso.","Embora o alumínio esteja presente em eletrônicos, ele possui toxicidade muito menor em comparação ao cádmio.",O magnésio não é considerado um dos principais contaminantes tóxicos relacionados ao lixo eletrônico.,Titânio possui alta resistência e baixa toxicidade ambiental relativa.
Avançado,Qual componente eletrônico apresenta maior dificuldade de reciclagem devido à complexidade de materiais integrados em microescala?,Circuitos integrados (chips),Estruturas de alumínio externas,Cabos de alimentação simples,Dissipadores térmicos metálicos,1,"Os circuitos integrados possuem múltiplos materiais altamente miniaturizados e combinados, dificultando separação e reaproveitamento.",Alumínio possui processos de reciclagem relativamente simples e eficientes.,Cabos geralmente permitem separação relativamente fácil entre plástico e cobre.,Dissipadores possuem composição metálica mais homogênea e fácil recuperação.
Avançado,"Em gestão de resíduos sólidos, a classificação do lixo eletrônico como “resíduo perigoso” ocorre principalmente devido:",À elevada inflamabilidade espontânea dos circuitos impressos,À presença de substâncias tóxicas com potencial contaminante,À emissão contínua de radiação ionizante,À capacidade de decomposição biológica acelerada,2,"Embora alguns materiais possam ser inflamáveis, esse não é o principal motivo da classificação como resíduo perigoso.",Metais pesados e compostos químicos presentes em eletrônicos oferecem riscos ambientais e à saúde humana.,Equipamentos eletrônicos comuns não emitem radiação ionizante em níveis relevantes.,"Os resíduos eletrônicos possuem decomposição lenta, não acelerada."
Avançado,Um dos maiores desafios na reciclagem de placas de circuito impresso (PCIs) ocorre devido:,À composição homogênea exclusivamente metálica,À elevada complexidade de materiais compósitos integrados,À ausência de materiais economicamente reaproveitáveis,À rápida biodegradação dos semicondutores,2,As placas possuem composição extremamente heterogênea.,"As PCIs possuem metais, polímeros e materiais cerâmicos altamente integrados, dificultando separação eficiente.","As placas contêm metais valiosos como ouro, cobre e prata.",Semicondutores possuem alta resistência à degradação natural.
Avançado,A economia circular aplicada ao lixo eletrônico busca principalmente:,Maximizar a obsolescência programada dos dispositivos,Estender o ciclo de vida dos materiais por reutilização e reciclagem,Eliminar completamente a produção de equipamentos eletrônicos,Priorizar exclusivamente a incineração energética dos resíduos,2,A obsolescência programada vai contra os princípios da economia circular.,A economia circular busca reduzir desperdícios e manter materiais em uso pelo maior tempo possível.,"O objetivo não é eliminar tecnologia, mas torná-la mais sustentável.","A economia circular prioriza reutilização, reparo e reciclagem antes da recuperação energética."
Avançado,A Convenção de Basileia é um tratado internacional que tem forte relação com o lixo eletrônico. Qual é o seu principal objetivo?,Proibir a fabricação de smartphones em países subdesenvolvidos,Regulamentar e restringir o movimento transfronteiriço de resíduos perigosos,Criar uma moeda global baseada na reciclagem de plástico,Obrigar todas as empresas a usarem apenas energia solar,2,"O tratado não interfere na fabricação, mas no descarte e transporte dos resíduos",Correto. A convenção visa impedir que países ricos exportem seu lixo tóxico (como o e-lixo) para nações mais pobres,A convenção não cria sistemas financeiros ou trata exclusivamente de plástico,"O foco do tratado é a movimentação de resíduos, e não a matriz energética das empresas"
Avançado,"Em relação aos retardantes de chama bromados (BFRs) frequentemente encontrados em carcaças plásticas de e-lixo, qual é o seu principal risco ambiental na reciclagem inadequada?",Transformam o plástico em um material solúvel em água,Aceleram a degradação natural do plástico no aterro sanitário,"Podem liberar dioxinas e furanos altamente cancerígenos quando incinerados
",Aceleram a degradação natural do plástico no aterro sanitário,3,Os BFRs não alteram a solubilidade do plástico dessa forma,"Pelo contrário, plásticos com aditivos tendem a ser mais persistentes no ambiente",Correto. A queima inadequada desses plásticos (comum em reciclagens informais) libera toxinas severas e persistentes,"Eles servem para evitar incêndios no aparelho, não possuem propriedades radioativas"
Avançado,"O que significa a sigla ""REEE"" no contexto ambiental?",Resíduos de Equipamentos Elétricos e Eletrônicos,Reciclagem Ecológica de Embalagens Especiais,Reutilização de Energia e Eletricidade,Rotação de Equipamentos Eletrônicos Ecológicos,1,Correto! REEE é o termo técnico oficial para o lixo eletrônico,"Não, a sigla foca nos equipamentos e seus resíduos","A sigla trata do lixo material, não da energia",Não existe essa nomenclatura oficial
Avançado,A diretiva RoHS (Restriction of Certain Hazardous Substances) da União Europeia impactou a fabricação de eletrônicos globalmente. Qual é sua principal regra?,Proibir o uso de baterias de íon-lítio em smartphones,Restringir o uso de substâncias tóxicas específicas como chumbo e cádmio na fabricação,Obrigar que 100% dos plásticos utilizados sejam de origem reciclada,Determinar que todo eletrônico deve durar no mínimo 10 anos,2,"A diretiva não proíbe baterias de lítio, que continuam sendo o padrão da indústria.",Correto! A RoHS limita o uso de substâncias perigosas para reduzir a toxicidade do lixo eletrônico.,"Apesar de incentivar a sustentabilidade, não exige uso exclusivo de plástico reciclado.","A diretiva foca na composição química dos materiais, e não na vida útil ou obsolescência."
